size: 50000000, g: 20, threads: 3, timeS: 0.02758, timeP: 0.01371, SpeedUp: 2.01, Eff: 0.67, trueg: 20
size: 50000000, g: 20, threads: 4, timeS: 0.02758, timeP: 0.01101, SpeedUp: 2.50, Eff: 0.63, trueg: 20
size: 50000000, g: 20, threads: 5, timeS: 0.02758, timeP: 0.01051, SpeedUp: 2.62, Eff: 0.52, trueg: 20
size: 50000000, g: 20, threads: 6, timeS: 0.02758, timeP: 0.01151, SpeedUp: 2.40, Eff: 0.40, trueg: 20
size: 50000000, g: 20, threads: 7, timeS: 0.02758, timeP: 0.01051, SpeedUp: 2.62, Eff: 0.37, trueg: 20
size: 50000000, g: 20, threads: 8, timeS: 0.02758, timeP: 0.00951, SpeedUp: 2.90, Eff: 0.36, trueg: 20
size: 50000000, g: 20, threads: 9, timeS: 0.02758, timeP: 0.01152, SpeedUp: 2.40, Eff: 0.27, trueg: 20
size: 50000000, g: 20, threads: 10, timeS: 0.02758, timeP: 0.00953, SpeedUp: 2.90, Eff: 0.29, trueg: 20
size: 50000000, g: 20, threads: 11, timeS: 0.02758, timeP: 0.01053, SpeedUp: 2.62, Eff: 0.24, trueg: 20
size: 50000000, g: 20, threads: 12, timeS: 0.02758, timeP: 0.01055, SpeedUp: 2.61, Eff: 0.22, trueg: 20
size: 50000000, g: 100, threads: 1, timeS: 0.02758, timeP: 0.03754, SpeedUp: 0.73, Eff: 0.73, trueg: 100
size: 50000000, g: 100, threads: 2, timeS: 0.02758, timeP: 0.01904, SpeedUp: 1.45, Eff: 0.72, trueg: 100
size: 50000000, g: 100, threads: 3, timeS: 0.02758, timeP: 0.01302, SpeedUp: 2.12, Eff: 0.71, trueg: 100
size: 50000000, g: 100, threads: 4, timeS: 0.02758, timeP: 0.01051, SpeedUp: 2.62, Eff: 0.66, trueg: 100
size: 50000000, g: 100, threads: 5, timeS: 0.02758, timeP: 0.01150, SpeedUp: 2.40, Eff: 0.48, trueg: 100
size: 50000000, g: 100, threads: 6, timeS: 0.02758, timeP: 0.00951, SpeedUp: 2.90, Eff: 0.48, trueg: 100
size: 50000000, g: 100, threads: 7, timeS: 0.02758, timeP: 0.00950, SpeedUp: 2.90, Eff: 0.41, trueg: 100
size: 50000000, g: 100, threads: 8, timeS: 0.02758, timeP: 0.00953, SpeedUp: 2.90, Eff: 0.36, trueg: 100
size: 50000000, g: 100, threads: 9, timeS: 0.02758, timeP: 0.01051, SpeedUp: 2.62, Eff: 0.29, trueg: 100
size: 50000000, g: 100, threads: 10, timeS: 0.02758, timeP: 0.01053, SpeedUp: 2.62, Eff: 0.26, trueg: 100
size: 50000000, g: 100, threads: 11, timeS: 0.02758, timeP: 0.01054, SpeedUp: 2.62, Eff: 0.24, trueg: 100
size: 50000000, g: 100, threads: 12, timeS: 0.02758, timeP: 0.01051, SpeedUp: 2.63, Eff: 0.22, trueg: 100
size: 50000000, g: 250, threads: 1, timeS: 0.02758, timeP: 0.03852, SpeedUp: 0.72, Eff: 0.72, trueg: 250
size: 50000000, g: 250, threads: 2, timeS: 0.02758, timeP: 0.01952, SpeedUp: 1.41, Eff: 0.71, trueg: 250
size: 50000000, g: 250, threads: 3, timeS: 0.02758, timeP: 0.01602, SpeedUp: 1.72, Eff: 0.57, trueg: 250
size: 50000000, g: 250, threads: 4, timeS: 0.02758, timeP: 0.01151, SpeedUp: 2.40, Eff: 0.60, trueg: 250
size: 50000000, g: 250, threads: 5, timeS: 0.02758, timeP: 0.01151, SpeedUp: 2.40, Eff: 0.48, trueg: 250
size: 50000000, g: 250, threads: 6, timeS: 0.02758, timeP: 0.01051, SpeedUp: 2.62, Eff: 0.44, trueg: 250
size: 50000000, g: 250, threads: 7, timeS: 0.02758, timeP: 0.01151, SpeedUp: 2.40, Eff: 0.34, trueg: 250
size: 50000000, g: 250, threads: 8, timeS: 0.02758, timeP: 0.01052, SpeedUp: 2.62, Eff: 0.33, trueg: 250
size: 50000000, g: 250, threads: 9, timeS: 0.02758, timeP: 0.01012, SpeedUp: 2.73, Eff: 0.30, trueg: 250
size: 50000000, g: 250, threads: 10, timeS: 0.02758, timeP: 0.01053, SpeedUp: 2.62, Eff: 0.26, trueg: 250
size: 50000000, g: 250, threads: 11, timeS: 0.02758, timeP: 0.01082, SpeedUp: 2.55, Eff: 0.23, trueg: 250
size: 50000000, g: 250, threads: 12, timeS: 0.02758, timeP: 0.01054, SpeedUp: 2.62, Eff: 0.22, trueg: 250
size: 50000000, g: 500, threads: 1, timeS: 0.02758, timeP: 0.03753, SpeedUp: 0.73, Eff: 0.73, trueg: 500
size: 50000000, g: 500, threads: 2, timeS: 0.02758, timeP: 0.02401, SpeedUp: 1.15, Eff: 0.57, trueg: 500
size: 50000000, g: 500, threads: 3, timeS: 0.02758, timeP: 0.01378, SpeedUp: 2.00, Eff: 0.67, trueg: 500
size: 50000000, g: 500, threads: 4, timeS: 0.02758, timeP: 0.01002, SpeedUp: 2.75, Eff: 0.69, trueg: 500
size: 50000000, g: 500, threads: 5, timeS: 0.02758, timeP: 0.00951, SpeedUp: 2.90, Eff: 0.58, trueg: 500
size: 50000000, g: 500, threads: 6, timeS: 0.02758, timeP: 0.00951, SpeedUp: 2.90, Eff: 0.48, trueg: 500
size: 50000000, g: 500, threads: 7, timeS: 0.02758, timeP: 0.01051, SpeedUp: 2.62, Eff: 0.37, trueg: 500
size: 50000000, g: 500, threads: 8, timeS: 0.02758, timeP: 0.00901, SpeedUp: 3.06, Eff: 0.38, trueg: 500
size: 50000000, g: 500, threads: 9, timeS: 0.02758, timeP: 0.01051, SpeedUp: 2.62, Eff: 0.29, trueg: 500
size: 50000000, g: 500, threads: 10, timeS: 0.02758, timeP: 0.01053, SpeedUp: 2.62, Eff: 0.26, trueg: 500
size: 50000000, g: 500, threads: 11, timeS: 0.02758, timeP: 0.01054, SpeedUp: 2.62, Eff: 0.24, trueg: 500
size: 50000000, g: 500, threads: 12, timeS: 0.02758, timeP: 0.01055, SpeedUp: 2.61, Eff: 0.22, trueg: 500
size: 50000000, g: 1000, threads: 1, timeS: 0.02758, timeP: 0.03753, SpeedUp: 0.73, Eff: 0.73, trueg: 1000
size: 50000000, g: 1000, threads: 2, timeS: 0.02758, timeP: 0.02001, SpeedUp: 1.38, Eff: 0.69, trueg: 1000
size: 50000000, g: 1000, threads: 3, timeS: 0.02758, timeP: 0.01608, SpeedUp: 1.72, Eff: 0.57, trueg: 1000
size: 50000000, g: 1000, threads: 4, timeS: 0.02758, timeP: 0.01051, SpeedUp: 2.63, Eff: 0.66, trueg: 1000
size: 50000000, g: 1000, threads: 5, timeS: 0.02758, timeP: 0.01051, SpeedUp: 2.62, Eff: 0.52, trueg: 1000
size: 50000000, g: 1000, threads: 6, timeS: 0.02758, timeP: 0.00951, SpeedUp: 2.90, Eff: 0.48, trueg: 1000
size: 50000000, g: 1000, threads: 7, timeS: 0.02758, timeP: 0.01052, SpeedUp: 2.62, Eff: 0.37, trueg: 1000
size: 50000000, g: 1000, threads: 8, timeS: 0.02758, timeP: 0.01102, SpeedUp: 2.50, Eff: 0.31, trueg: 1000
size: 50000000, g: 1000, threads: 9, timeS: 0.02758, timeP: 0.00953, SpeedUp: 2.89, Eff: 0.32, trueg: 1000
size: 50000000, g: 1000, threads: 10, timeS: 0.02758, timeP: 0.01106, SpeedUp: 2.49, Eff: 0.25, trueg: 1000
size: 50000000, g: 1000, threads: 11, timeS: 0.02758, timeP: 0.01215, SpeedUp: 2.27, Eff: 0.21, trueg: 1000
size: 50000000, g: 1000, threads: 12, timeS: 0.02758, timeP: 0.01115, SpeedUp: 2.47, Eff: 0.21, trueg: 1000
size: 100000000, g: 2, threads: 1, timeS: 0.06456, timeP: 0.08627, SpeedUp: 0.75, Eff: 0.75, trueg: 2
size: 100000000, g: 2, threads: 2, timeS: 0.06456, timeP: 0.04515, SpeedUp: 1.43, Eff: 0.71, trueg: 2
size: 100000000, g: 2, threads: 3, timeS: 0.06456, timeP: 0.04667, SpeedUp: 1.38, Eff: 0.46, trueg: 2
size: 100000000, g: 2, threads: 4, timeS: 0.06456, timeP: 0.04868, SpeedUp: 1.33, Eff: 0.33, trueg: 2
size: 100000000, g: 2, threads: 5, timeS: 0.06456, timeP: 0.04704, SpeedUp: 1.37, Eff: 0.27, trueg: 2
size: 100000000, g: 2, threads: 6, timeS: 0.06456, timeP: 0.04654, SpeedUp: 1.39, Eff: 0.23, trueg: 2
size: 100000000, g: 2, threads: 7, timeS: 0.06456, timeP: 0.04429, SpeedUp: 1.46, Eff: 0.21, trueg: 2
size: 100000000, g: 2, threads: 8, timeS: 0.06456, timeP: 0.04613, SpeedUp: 1.40, Eff: 0.17, trueg: 2
size: 100000000, g: 2, threads: 9, timeS: 0.06456, timeP: 0.04503, SpeedUp: 1.43, Eff: 0.16, trueg: 2
size: 100000000, g: 2, threads: 10, timeS: 0.06456, timeP: 0.04805, SpeedUp: 1.34, Eff: 0.13, trueg: 2
size: 100000000, g: 2, threads: 11, timeS: 0.06456, timeP: 0.04304, SpeedUp: 1.50, Eff: 0.14, trueg: 2
size: 100000000, g: 2, threads: 12, timeS: 0.06456, timeP: 0.04608, SpeedUp: 1.40, Eff: 0.12, trueg: 2
size: 100000000, g: 3, threads: 1, timeS: 0.06456, timeP: 0.08364, SpeedUp: 0.77, Eff: 0.77, trueg: 3
size: 100000000, g: 3, threads: 2, timeS: 0.06456, timeP: 0.04805, SpeedUp: 1.34, Eff: 0.67, trueg: 3
size: 100000000, g: 3, threads: 3, timeS: 0.06456, timeP: 0.03052, SpeedUp: 2.12, Eff: 0.71, trueg: 3
size: 100000000, g: 3, threads: 4, timeS: 0.06456, timeP: 0.02953, SpeedUp: 2.19, Eff: 0.55, trueg: 3
size: 100000000, g: 3, threads: 5, timeS: 0.06456, timeP: 0.03361, SpeedUp: 1.92, Eff: 0.38, trueg: 3
size: 100000000, g: 3, threads: 6, timeS: 0.06456, timeP: 0.02852, SpeedUp: 2.26, Eff: 0.38, trueg: 3
size: 100000000, g: 3, threads: 7, timeS: 0.06456, timeP: 0.02856, SpeedUp: 2.26, Eff: 0.32, trueg: 3
size: 100000000, g: 3, threads: 8, timeS: 0.06456, timeP: 0.03173, SpeedUp: 2.03, Eff: 0.25, trueg: 3
size: 100000000, g: 3, threads: 9, timeS: 0.06456, timeP: 0.02834, SpeedUp: 2.28, Eff: 0.25, trueg: 3
size: 100000000, g: 3, threads: 10, timeS: 0.06456, timeP: 0.02652, SpeedUp: 2.43, Eff: 0.24, trueg: 3
size: 100000000, g: 3, threads: 11, timeS: 0.06456, timeP: 0.02852, SpeedUp: 2.26, Eff: 0.21, trueg: 3
size: 100000000, g: 3, threads: 12, timeS: 0.06456, timeP: 0.02611, SpeedUp: 2.47, Eff: 0.21, trueg: 3
size: 100000000, g: 4, threads: 1, timeS: 0.06456, timeP: 0.07555, SpeedUp: 0.85, Eff: 0.85, trueg: 4
size: 100000000, g: 4, threads: 2, timeS: 0.06456, timeP: 0.03913, SpeedUp: 1.65, Eff: 0.82, trueg: 4
size: 100000000, g: 4, threads: 3, timeS: 0.06456, timeP: 0.03407, SpeedUp: 1.89, Eff: 0.63, trueg: 4
size: 100000000, g: 4, threads: 4, timeS: 0.06456, timeP: 0.02160, SpeedUp: 2.99, Eff: 0.75, trueg: 4
size: 100000000, g: 4, threads: 5, timeS: 0.06456, timeP: 0.02109, SpeedUp: 3.06, Eff: 0.61, trueg: 4
size: 100000000, g: 4, threads: 6, timeS: 0.06456, timeP: 0.02552, SpeedUp: 2.53, Eff: 0.42, trueg: 4
size: 100000000, g: 4, threads: 7, timeS: 0.06456, timeP: 0.02102, SpeedUp: 3.07, Eff: 0.44, trueg: 4
size: 100000000, g: 4, threads: 8, timeS: 0.06456, timeP: 0.02602, SpeedUp: 2.48, Eff: 0.31, trueg: 4
size: 100000000, g: 4, threads: 9, timeS: 0.06456, timeP: 0.02052, SpeedUp: 3.15, Eff: 0.35, trueg: 4
size: 100000000, g: 4, threads: 10, timeS: 0.06456, timeP: 0.02112, SpeedUp: 3.06, Eff: 0.31, trueg: 4
size: 100000000, g: 4, threads: 11, timeS: 0.06456, timeP: 0.02664, SpeedUp: 2.42, Eff: 0.22, trueg: 4
size: 100000000, g: 4, threads: 12, timeS: 0.06456, timeP: 0.02203, SpeedUp: 2.93, Eff: 0.24, trueg: 4
size: 100000000, g: 5, threads: 1, timeS: 0.06456, timeP: 0.07816, SpeedUp: 0.83, Eff: 0.83, trueg: 5
size: 100000000, g: 5, threads: 2, timeS: 0.06456, timeP: 0.04403, SpeedUp: 1.47, Eff: 0.73, trueg: 5
size: 100000000, g: 5, threads: 3, timeS: 0.06456, timeP: 0.03912, SpeedUp: 1.65, Eff: 0.55, trueg: 5
size: 100000000, g: 5, threads: 4, timeS: 0.06456, timeP: 0.02953, SpeedUp: 2.19, Eff: 0.55, trueg: 5
size: 100000000, g: 5, threads: 5, timeS: 0.06456, timeP: 0.02102, SpeedUp: 3.07, Eff: 0.61, trueg: 5
size: 100000000, g: 5, threads: 6, timeS: 0.06456, timeP: 0.02123, SpeedUp: 3.04, Eff: 0.51, trueg: 5
size: 100000000, g: 5, threads: 7, timeS: 0.06456, timeP: 0.02153, SpeedUp: 3.00, Eff: 0.43, trueg: 5
size: 100000000, g: 5, threads: 8, timeS: 0.06456, timeP: 0.02204, SpeedUp: 2.93, Eff: 0.37, trueg: 5
size: 100000000, g: 5, threads: 9, timeS: 0.06456, timeP: 0.01961, SpeedUp: 3.29, Eff: 0.37, trueg: 5
size: 100000000, g: 5, threads: 10, timeS: 0.06456, timeP: 0.02102, SpeedUp: 3.07, Eff: 0.31, trueg: 5
size: 100000000, g: 5, threads: 11, timeS: 0.06456, timeP: 0.01953, SpeedUp: 3.31, Eff: 0.30, trueg: 5
size: 100000000, g: 5, threads: 12, timeS: 0.06456, timeP: 0.01902, SpeedUp: 3.39, Eff: 0.28, trueg: 5
size: 100000000, g: 6, threads: 1, timeS: 0.06456, timeP: 0.07618, SpeedUp: 0.85, Eff: 0.85, trueg: 6
size: 100000000, g: 6, threads: 2, timeS: 0.06456, timeP: 0.03903, SpeedUp: 1.65, Eff: 0.83, trueg: 6
size: 100000000, g: 6, threads: 3, timeS: 0.06456, timeP: 0.03153, SpeedUp: 2.05, Eff: 0.68, trueg: 6
size: 100000000, g: 6, threads: 4, timeS: 0.06456, timeP: 0.02752, SpeedUp: 2.35, Eff: 0.59, trueg: 6
size: 100000000, g: 6, threads: 5, timeS: 0.06456, timeP: 0.02407, SpeedUp: 2.68, Eff: 0.54, trueg: 6
size: 100000000, g: 6, threads: 6, timeS: 0.06456, timeP: 0.02302, SpeedUp: 2.80, Eff: 0.47, trueg: 6
size: 100000000, g: 6, threads: 7, timeS: 0.06456, timeP: 0.02102, SpeedUp: 3.07, Eff: 0.44, trueg: 6
size: 100000000, g: 6, threads: 8, timeS: 0.06456, timeP: 0.02002, SpeedUp: 3.22, Eff: 0.40, trueg: 6
size: 100000000, g: 6, threads: 9, timeS: 0.06456, timeP: 0.02312, SpeedUp: 2.79, Eff: 0.31, trueg: 6
size: 100000000, g: 6, threads: 10, timeS: 0.06456, timeP: 0.02187, SpeedUp: 2.95, Eff: 0.30, trueg: 6
size: 100000000, g: 6, threads: 11, timeS: 0.06456, timeP: 0.02002, SpeedUp: 3.22, Eff: 0.29, trueg: 6
size: 100000000, g: 6, threads: 12, timeS: 0.06456, timeP: 0.02102, SpeedUp: 3.07, Eff: 0.26, trueg: 6
size: 100000000, g: 7, threads: 1, timeS: 0.06456, timeP: 0.07456, SpeedUp: 0.87, Eff: 0.87, trueg: 7
size: 100000000, g: 7, threads: 2, timeS: 0.06456, timeP: 0.03813, SpeedUp: 1.69, Eff: 0.85, trueg: 7
size: 100000000, g: 7, threads: 3, timeS: 0.06456, timeP: 0.03162, SpeedUp: 2.04, Eff: 0.68, trueg: 7
size: 100000000, g: 7, threads: 4, timeS: 0.06456, timeP: 0.02561, SpeedUp: 2.52, Eff: 0.63, trueg: 7
size: 100000000, g: 7, threads: 5, timeS: 0.06456, timeP: 0.02402, SpeedUp: 2.69, Eff: 0.54, trueg: 7
size: 100000000, g: 7, threads: 6, timeS: 0.06456, timeP: 0.02453, SpeedUp: 2.63, Eff: 0.44, trueg: 7
size: 100000000, g: 7, threads: 7, timeS: 0.06456, timeP: 0.02247, SpeedUp: 2.87, Eff: 0.41, trueg: 7
size: 100000000, g: 7, threads: 8, timeS: 0.06456, timeP: 0.02234, SpeedUp: 2.89, Eff: 0.36, trueg: 7
size: 100000000, g: 7, threads: 9, timeS: 0.06456, timeP: 0.02358, SpeedUp: 2.74, Eff: 0.30, trueg: 7
size: 100000000, g: 7, threads: 10, timeS: 0.06456, timeP: 0.02304, SpeedUp: 2.80, Eff: 0.28, trueg: 7
size: 100000000, g: 7, threads: 11, timeS: 0.06456, timeP: 0.02357, SpeedUp: 2.74, Eff: 0.25, trueg: 7
size: 100000000, g: 7, threads: 12, timeS: 0.06456, timeP: 0.02202, SpeedUp: 2.93, Eff: 0.24, trueg: 7
size: 100000000, g: 8, threads: 1, timeS: 0.06456, timeP: 0.07578, SpeedUp: 0.85, Eff: 0.85, trueg: 8
size: 100000000, g: 8, threads: 2, timeS: 0.06456, timeP: 0.04004, SpeedUp: 1.61, Eff: 0.81, trueg: 8
size: 100000000, g: 8, threads: 3, timeS: 0.06456, timeP: 0.02952, SpeedUp: 2.19, Eff: 0.73, trueg: 8
size: 100000000, g: 8, threads: 4, timeS: 0.06456, timeP: 0.02353, SpeedUp: 2.74, Eff: 0.69, trueg: 8
size: 100000000, g: 8, threads: 5, timeS: 0.06456, timeP: 0.02202, SpeedUp: 2.93, Eff: 0.59, trueg: 8
size: 100000000, g: 8, threads: 6, timeS: 0.06456, timeP: 0.02355, SpeedUp: 2.74, Eff: 0.46, trueg: 8
size: 100000000, g: 8, threads: 7, timeS: 0.06456, timeP: 0.02352, SpeedUp: 2.74, Eff: 0.39, trueg: 8
size: 100000000, g: 8, threads: 8, timeS: 0.06456, timeP: 0.02103, SpeedUp: 3.07, Eff: 0.38, trueg: 8
size: 100000000, g: 8, threads: 9, timeS: 0.06456, timeP: 0.02204, SpeedUp: 2.93, Eff: 0.33, trueg: 8
size: 100000000, g: 8, threads: 10, timeS: 0.06456, timeP: 0.02068, SpeedUp: 3.12, Eff: 0.31, trueg: 8
size: 100000000, g: 8, threads: 11, timeS: 0.06456, timeP: 0.02102, SpeedUp: 3.07, Eff: 0.28, trueg: 8
size: 100000000, g: 8, threads: 12, timeS: 0.06456, timeP: 0.02102, SpeedUp: 3.07, Eff: 0.26, trueg: 8
size: 100000000, g: 9, threads: 1, timeS: 0.06456, timeP: 0.07507, SpeedUp: 0.86, Eff: 0.86, trueg: 9
size: 100000000, g: 9, threads: 2, timeS: 0.06456, timeP: 0.04154, SpeedUp: 1.55, Eff: 0.78, trueg: 9
size: 100000000, g: 9, threads: 3, timeS: 0.06456, timeP: 0.02702, SpeedUp: 2.39, Eff: 0.80, trueg: 9
size: 100000000, g: 9, threads: 4, timeS: 0.06456, timeP: 0.02652, SpeedUp: 2.43, Eff: 0.61, trueg: 9
size: 100000000, g: 9, threads: 5, timeS: 0.06456, timeP: 0.02002, SpeedUp: 3.22, Eff: 0.64, trueg: 9
size: 100000000, g: 9, threads: 6, timeS: 0.06456, timeP: 0.02162, SpeedUp: 2.99, Eff: 0.50, trueg: 9
size: 100000000, g: 9, threads: 7, timeS: 0.06456, timeP: 0.02252, SpeedUp: 2.87, Eff: 0.41, trueg: 9
size: 100000000, g: 9, threads: 8, timeS: 0.06456, timeP: 0.02585, SpeedUp: 2.50, Eff: 0.31, trueg: 9
size: 100000000, g: 9, threads: 9, timeS: 0.06456, timeP: 0.02105, SpeedUp: 3.07, Eff: 0.34, trueg: 9
size: 100000000, g: 9, threads: 10, timeS: 0.06456, timeP: 0.02103, SpeedUp: 3.07, Eff: 0.31, trueg: 9
size: 100000000, g: 9, threads: 11, timeS: 0.06456, timeP: 0.02103, SpeedUp: 3.07, Eff: 0.28, trueg: 9
size: 100000000, g: 9, threads: 12, timeS: 0.06456, timeP: 0.02132, SpeedUp: 3.03, Eff: 0.25, trueg: 9
size: 100000000, g: 10, threads: 1, timeS: 0.06456, timeP: 0.07505, SpeedUp: 0.86, Eff: 0.86, trueg: 10
size: 100000000, g: 10, threads: 2, timeS: 0.06456, timeP: 0.03908, SpeedUp: 1.65, Eff: 0.83, trueg: 10
size: 100000000, g: 10, threads: 3, timeS: 0.06456, timeP: 0.03052, SpeedUp: 2.12, Eff: 0.71, trueg: 10
size: 100000000, g: 10, threads: 4, timeS: 0.06456, timeP: 0.02832, SpeedUp: 2.28, Eff: 0.57, trueg: 10
size: 100000000, g: 10, threads: 5, timeS: 0.06456, timeP: 0.01953, SpeedUp: 3.31, Eff: 0.66, trueg: 10
size: 100000000, g: 10, threads: 6, timeS: 0.06456, timeP: 0.02302, SpeedUp: 2.80, Eff: 0.47, trueg: 10
size: 100000000, g: 10, threads: 7, timeS: 0.06456, timeP: 0.03054, SpeedUp: 2.11, Eff: 0.30, trueg: 10
size: 100000000, g: 10, threads: 8, timeS: 0.06456, timeP: 0.02548, SpeedUp: 2.53, Eff: 0.32, trueg: 10
size: 100000000, g: 10, threads: 9, timeS: 0.06456, timeP: 0.02605, SpeedUp: 2.48, Eff: 0.28, trueg: 10
size: 100000000, g: 10, threads: 10, timeS: 0.06456, timeP: 0.02224, SpeedUp: 2.90, Eff: 0.29, trueg: 10
size: 100000000, g: 10, threads: 11, timeS: 0.06456, timeP: 0.02154, SpeedUp: 3.00, Eff: 0.27, trueg: 10
size: 100000000, g: 10, threads: 12, timeS: 0.06456, timeP: 0.02181, SpeedUp: 2.96, Eff: 0.25, trueg: 10
size: 100000000, g: 11, threads: 1, timeS: 0.06456, timeP: 0.07821, SpeedUp: 0.83, Eff: 0.83, trueg: 11
size: 100000000, g: 11, threads: 2, timeS: 0.06456, timeP: 0.04155, SpeedUp: 1.55, Eff: 0.78, trueg: 11
size: 100000000, g: 11, threads: 3, timeS: 0.06456, timeP: 0.03403, SpeedUp: 1.90, Eff: 0.63, trueg: 11
size: 100000000, g: 11, threads: 4, timeS: 0.06456, timeP: 0.02301, SpeedUp: 2.81, Eff: 0.70, trueg: 11
size: 100000000, g: 11, threads: 5, timeS: 0.06456, timeP: 0.02652, SpeedUp: 2.43, Eff: 0.49, trueg: 11
size: 100000000, g: 11, threads: 6, timeS: 0.06456, timeP: 0.02153, SpeedUp: 3.00, Eff: 0.50, trueg: 11
size: 100000000, g: 11, threads: 7, timeS: 0.06456, timeP: 0.02002, SpeedUp: 3.22, Eff: 0.46, trueg: 11
size: 100000000, g: 11, threads: 8, timeS: 0.06456, timeP: 0.02102, SpeedUp: 3.07, Eff: 0.38, trueg: 11
size: 100000000, g: 11, threads: 9, timeS: 0.06456, timeP: 0.02402, SpeedUp: 2.69, Eff: 0.30, trueg: 11
size: 100000000, g: 11, threads: 10, timeS: 0.06456, timeP: 0.02305, SpeedUp: 2.80, Eff: 0.28, trueg: 11
size: 100000000, g: 11, threads: 11, timeS: 0.06456, timeP: 0.02046, SpeedUp: 3.16, Eff: 0.29, trueg: 11
size: 100000000, g: 11, threads: 12, timeS: 0.06456, timeP: 0.02205, SpeedUp: 2.93, Eff: 0.24, trueg: 11
size: 100000000, g: 12, threads: 1, timeS: 0.06456, timeP: 0.07460, SpeedUp: 0.87, Eff: 0.87, trueg: 12
size: 100000000, g: 12, threads: 2, timeS: 0.06456, timeP: 0.04054, SpeedUp: 1.59, Eff: 0.80, trueg: 12
size: 100000000, g: 12, threads: 3, timeS: 0.06456, timeP: 0.03452, SpeedUp: 1.87, Eff: 0.62, trueg: 12
size: 100000000, g: 12, threads: 4, timeS: 0.06456, timeP: 0.02860, SpeedUp: 2.26, Eff: 0.56, trueg: 12
size: 100000000, g: 12, threads: 5, timeS: 0.06456, timeP: 0.02401, SpeedUp: 2.69, Eff: 0.54, trueg: 12
size: 100000000, g: 12, threads: 6, timeS: 0.06456, timeP: 0.01913, SpeedUp: 3.37, Eff: 0.56, trueg: 12
size: 100000000, g: 12, threads: 7, timeS: 0.06456, timeP: 0.02502, SpeedUp: 2.58, Eff: 0.37, trueg: 12
size: 100000000, g: 12, threads: 8, timeS: 0.06456, timeP: 0.02253, SpeedUp: 2.87, Eff: 0.36, trueg: 12
size: 100000000, g: 12, threads: 9, timeS: 0.06456, timeP: 0.02159, SpeedUp: 2.99, Eff: 0.33, trueg: 12
size: 100000000, g: 12, threads: 10, timeS: 0.06456, timeP: 0.02214, SpeedUp: 2.92, Eff: 0.29, trueg: 12
size: 100000000, g: 12, threads: 11, timeS: 0.06456, timeP: 0.02207, SpeedUp: 2.93, Eff: 0.27, trueg: 12
size: 100000000, g: 12, threads: 12, timeS: 0.06456, timeP: 0.02157, SpeedUp: 2.99, Eff: 0.25, trueg: 12
size: 100000000, g: 20, threads: 1, timeS: 0.06456, timeP: 0.07515, SpeedUp: 0.86, Eff: 0.86, trueg: 20
size: 100000000, g: 20, threads: 2, timeS: 0.06456, timeP: 0.04254, SpeedUp: 1.52, Eff: 0.76, trueg: 20
size: 100000000, g: 20, threads: 3, timeS: 0.06456, timeP: 0.02601, SpeedUp: 2.48, Eff: 0.83, trueg: 20
size: 100000000, g: 20, threads: 4, timeS: 0.06456, timeP: 0.02303, SpeedUp: 2.80, Eff: 0.70, trueg: 20
size: 100000000, g: 20, threads: 5, timeS: 0.06456, timeP: 0.01902, SpeedUp: 3.39, Eff: 0.68, trueg: 20
size: 100000000, g: 20, threads: 6, timeS: 0.06456, timeP: 0.01902, SpeedUp: 3.39, Eff: 0.57, trueg: 20
size: 100000000, g: 20, threads: 7, timeS: 0.06456, timeP: 0.02242, SpeedUp: 2.88, Eff: 0.41, trueg: 20
size: 100000000, g: 20, threads: 8, timeS: 0.06456, timeP: 0.02102, SpeedUp: 3.07, Eff: 0.38, trueg: 20
size: 100000000, g: 20, threads: 9, timeS: 0.06456, timeP: 0.02150, SpeedUp: 3.00, Eff: 0.33, trueg: 20
size: 100000000, g: 20, threads: 10, timeS: 0.06456, timeP: 0.02103, SpeedUp: 3.07, Eff: 0.31, trueg: 20
size: 100000000, g: 20, threads: 11, timeS: 0.06456, timeP: 0.02190, SpeedUp: 2.95, Eff: 0.27, trueg: 20
size: 100000000, g: 20, threads: 12, timeS: 0.06456, timeP: 0.02349, SpeedUp: 2.75, Eff: 0.23, trueg: 20
size: 100000000, g: 100, threads: 1, timeS: 0.06456, timeP: 0.08130, SpeedUp: 0.79, Eff: 0.79, trueg: 100
size: 100000000, g: 100, threads: 2, timeS: 0.06456, timeP: 0.03924, SpeedUp: 1.65, Eff: 0.82, trueg: 100
size: 100000000, g: 100, threads: 3, timeS: 0.06456, timeP: 0.02671, SpeedUp: 2.42, Eff: 0.81, trueg: 100
size: 100000000, g: 100, threads: 4, timeS: 0.06456, timeP: 0.02052, SpeedUp: 3.15, Eff: 0.79, trueg: 100
size: 100000000, g: 100, threads: 5, timeS: 0.06456, timeP: 0.01958, SpeedUp: 3.30, Eff: 0.66, trueg: 100
size: 100000000, g: 100, threads: 6, timeS: 0.06456, timeP: 0.02102, SpeedUp: 3.07, Eff: 0.51, trueg: 100
size: 100000000, g: 100, threads: 7, timeS: 0.06456, timeP: 0.02064, SpeedUp: 3.13, Eff: 0.45, trueg: 100
size: 100000000, g: 100, threads: 8, timeS: 0.06456, timeP: 0.02166, SpeedUp: 2.98, Eff: 0.37, trueg: 100
size: 100000000, g: 100, threads: 9, timeS: 0.06456, timeP: 0.02105, SpeedUp: 3.07, Eff: 0.34, trueg: 100
